eurotiomycetes_odb10	2020-08-05	c8f5f61ec75edaa4f90cbc806b0a62fb
euryarchaeota_odb10	2020-03-06	19270bc34541b3188c137e14ddf0bbf4
eutheria_odb10	2020-09-10	29b0b2f1cea51b414a2ca0ee0eba48d8
fabales_odb10	2020-08-05	a6b23c521fa40bff31e01b92848414f9
firmicutes_odb10	2020-03-06	da252bf71ff3fd361b694b2399975501
flavobacteriales_odb10	2020-03-06	1af309aa6aa79d79d7d022cccaa7a0df
flavobacteriia_odb10	2020-03-06	bf084876967153b6b2ee98aa87e375d9
fungi_odb10	2020-09-10	134cec40f37b3916d067bdcb602553f0
fusobacteriales_odb10	2020-03-06	7ef0baae4b567ffb9f19c5b1a42f8169
fusobacteria_odb10	2020-03-06	2c4a243016fcf267f9e4fd7e2bc71500
gammaproteobacteria_odb10	2020-03-06	546f66e710f458311c85f17cc0e7e0ca
glires_odb10	2020-08-05	5beca7b3b6c9ce1490400b64fdbbc0d2
glomerellales_odb10	2020-08-05	4b30a551d675fcda7387c11578da7505
halobacteriales_odb10	2020-03-06	e8448a54956a38aba7c597abcd243eea
halobacteria_odb10	2020-03-06	8ad6772f230ff0c5e121c8b2a7d7c570
haloferacales_odb10	2020-03-06	29ce691ba0306d0ff92607e39d73e935
helotiales_odb10	2020-08-05	7b37f15f53446fb27799ca7bf57a255a
hemiptera_odb10	2020-08-05	5605964c582ff35a465bf2629f7f5bcb
hymenoptera_odb10	2020-08-05	d1fb8b5eab6222908188702c791f7e30
hypocreales_odb10	2020-08-05	b3f1e90d1994e95930038951e8614a4e
insecta_odb10	2020-09-10	37811ebbdac556a9afa5b7b73ba80568
lactobacillales_odb10	2020-03-06	750d7268082765b50f07ef3d14d3bff8
laurasiatheria_odb10	2020-09-10	d0737192dfb9785efd25da28f641f02d
legionellales_odb10	2020-03-06	d4cf996e02d3386e752c2b5ab78990bc
leotiomycetes_odb10	2020-08-05	6c24724da1caf5200ab6fb09a1fa899c
lepidoptera_odb10	2020-08-05	50cd95f78717f7c9cb628b4c2cfdcf8c
liliopsida_odb10	2020-09-10	04fe88de47726ab0304a0d5d39b3a7c0
lineages_list.txt	2019-11-27	108472495da3692ecd772ed2d61376b9
list_of_reference_markers.archaea_odb10.txt	2019-12-16	0143477e3666a5bcdec26a826eb01ab4
list_of_reference_markers.bacteria_odb10.txt	2019-12-16	e82a39f3060123f4322057c632d7691c
list_of_reference_markers.eukaryota_odb10.txt	2019-12-16	95a02d2bbe1659778bda594d59c90ee1
mammalia_odb10	2020-09-10	18fdac136bb018f9522730afc524015d
mapping_taxid-lineage.archaea_odb10.txt	2019-12-16	5a05ab8eb491f6d4ae9f7774fd778f7e
mapping_taxid-lineage.bacteria_odb10.txt	2019-12-16	b25a5a807f4ff70f4343ef7500d26975
mapping_taxid-lineage.eukaryota_odb10.txt	2019-12-16	e5b047a09cee36f1116f7de1453276b4
mapping_taxids-busco_dataset_name.archaea_odb10.txt	2019-12-16	d8cc75b75e052e475e07d84cb4d8cd06
mapping_taxids-busco_dataset_name.bacteria_odb10.txt	2019-12-16	79514724345b6cae32bb05ecacc11386
mapping_taxids-busco_dataset_name.eukaryota_odb10.txt	2019-12-16	435492f974732bb2d562d5abe54bd494
metazoa_odb10	2020-09-10	96203a299d818606c8e7e8f74ddf5b59
methanobacteria_odb10	2020-03-06	f3852b11c81baad298f4a592aa472aa0
methanococcales_odb10	2020-03-06	5d232585501577dd952180e7cb111795
methanomicrobiales_odb10	2020-03-06	b5e87e2dd2ea8ffc51d1eb9ac36303e5
methanomicrobia_odb10	2020-03-06	3ff4dbc886af40ef748e32cfe675212c
